id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-072,Antique Armor Fossil,72,Common,2026-07-18T08:02:59.387Z,EUR,895856,0.15,0.02,0.11,0.12,0.19,0.19,,0.02,0.18,0.25,0.25,0.25,2026-07-18T08:02:56.983Z,USD,704829.0,0.01,0.19,2.23,0.11,704829.0,0.08,0.29,1.8,0.28,,,,,
me05-072,Antique Armor Fossil,72,Common,2026-07-19T08:03:04.658Z,EUR,895856,0.15,0.02,0.09,0.12,0.19,0.19,,0.05,0.34,0.25,0.25,0.25,2026-07-19T08:03:02.366Z,USD,704829.0,0.01,0.15,2.23,0.08,704829.0,0.07,0.25,100.0,0.19,,,,,
me05-072,Antique Armor Fossil,72,Common,2026-07-20T08:03:04.811Z,EUR,895856,0.15,0.02,0.07,0.05,0.07,0.08,,0.05,0.26,0.11,0.29,0.29,2026-07-20T08:03:02.229Z,USD,704829.0,0.01,0.16,1.68,0.1,704829.0,0.06,0.25,2.0,0.2,,,,,
me05-073,Antique Skull Fossil,73,Common,2026-07-18T08:02:59.776Z,EUR,895857,0.45,0.02,0.12,0.08,0.22,0.22,,0.05,0.18,0.25,0.25,0.25,2026-07-18T08:02:56.983Z,USD,704830.0,0.01,0.2,1.72,0.09,704830.0,0.03,0.2,40.0,0.15,,,,,
me05-073,Antique Skull Fossil,73,Common,2026-07-19T08:03:04.658Z,EUR,895857,0.45,0.02,0.09,0.08,0.22,0.22,,0.05,0.14,0.25,0.25,0.25,2026-07-19T08:03:02.366Z,USD,704830.0,0.01,0.16,100.0,0.09,704830.0,0.03,0.2,40.0,0.14,,,,,
me05-073,Antique Skull Fossil,73,Common,2026-07-20T08:03:04.811Z,EUR,895857,0.45,0.02,0.05,0.05,0.09,0.09,,0.02,0.13,0.13,0.14,0.14,2026-07-20T08:03:02.229Z,USD,704830.0,0.01,0.15,1.65,0.08,704830.0,0.02,0.2,3.0,0.15,,,,,
me05-074,Backtrack Badge,74,Uncommon,2026-07-18T08:02:59.387Z,EUR,895858,0.1,0.02,0.25,0.12,0.14,0.14,,0.05,0.19,0.27,0.27,0.27,2026-07-18T08:02:56.983Z,USD,704831.0,0.03,0.19,1.53,0.1,704831.0,0.05,0.26,3.0,0.22,,,,,
me05-074,Backtrack Badge,74,Uncommon,2026-07-19T08:03:04.658Z,EUR,895858,0.1,0.02,0.21,0.12,0.14,0.14,,0.02,0.17,0.27,0.27,0.27,2026-07-19T08:03:02.366Z,USD,704831.0,0.01,0.15,100.0,0.09,704831.0,0.01,0.25,3.0,0.14,,,,,
me05-074,Backtrack Badge,74,Uncommon,2026-07-20T08:03:04.811Z,EUR,895858,0.1,0.02,0.16,0.06,0.1,0.1,,0.02,0.13,0.08,0.12,0.12,2026-07-20T08:03:02.229Z,USD,704831.0,0.01,0.15,1.53,0.07,704831.0,0.01,0.23,3.0,0.15,,,,,
me05-075,Dark Bell,75,Uncommon,2026-07-18T08:02:59.776Z,EUR,895859,0.18,0.02,0.28,0.11,0.19,0.19,,0.05,0.44,0.27,0.27,0.27,2026-07-18T08:02:56.983Z,USD,704832.0,0.01,0.19,4.0,0.11,704832.0,0.08,0.26,1.79,0.22,,,,,
